sku,ranking
10036801,1
80081230,1
10122113,1
80081301,2
80010101,2
10099503,2
10121720,3
10064605,3
10129401,3
10091802,4
10105702,4
80126220,4
50165520,4
40003301,4
40001920,4
80126220,4
50000425,4
30189228,4
30102901,4
50047936,4
50128739,4
50111930,4
50064939,4
50042501,4
10114422,4
40031736,5
10155828,5
10121713,5
10017001,5
80107701,5
30153320,5
10104603,5
80067603,5
40031736,5
10155828,5
60005607,5
50168436,5
40003101,5
30133122,5
80125923,5
50001036,5
30189206,5
10121713,5
50120214,5
30121328,5
50128614,5
10114222,5
50211601,5
50212422,5
60000103,5
40030101,6
10146136,6
30169202,6
10084536,6
30152803,6
80038311,6
80085702,6
40030101,6
60005405,6
50166001,6
40003001,6
30133020,6
80126728,6
80107913,6
10025903,6
30189201,6
10146136,6
30169202,6
50129507,6
30121114,6
10114101,6
50211128,6
50146520,6
40031436,7
10146129,7
10152028,7
10089344,7
80038528,7
80085315,7
40031436,7
30132920,7
80086428,7
10025722,7
10025003,7
30188528,7
60005024,7
10146129,7
50129014,7
30120520,7
10152028,7
30145228,7
10114022,7
10108601,7
80139536,8
10146028,8
10152936,8
80004501,8
10102213,8
80139536,8
10141128,8
30132801,8
80086728,8
10025636,8
50051920,8
30188527,8
10146028,8
50129422,8
50128839,8
30120420,8
10152936,8
80119714,8
10066729,9
10144236,9
80031001,9
10101801,9
80152501,9
30132420,9
80087215,9
10025638,9
50051820,9
10066729,9
30188501,9
10144236,9
50128214,9
30145928,9
50109014,9
80119933,9
10111535,10
10129020,10
10077428,10
80127030,10
80126936,10
30132320,10
80126501,10
80124705,10
10025601,10
50051720,10
30188726,10
10111535,10
10129020,10
50128207,10
30145914,10
50212607,10
80151421,10
80119914,10
10111336,11
10099036,11
10077214,11
10127136,11
80147529,11
10154202,12
10098403,12
10154201,13
10098814,13
10129730,14
10086710,14
10129701,15
10175833,15
30191701,16
10158503,16
30190901,17
10155003,17
30190701,18
10157114,18
30190305,19
10157005,19
30189805,20
10157001,20
60012238,21
10156214,21
10144402,22
10156205,22
10143928,23
10155229,23
10141936,24
10155636,24
10155601,25
10155028,25
10158803,26
10131601,26
30170301,27
10131436,27
10130931,28
10130201,28
10098905,29
10130003,29
10097443,30
10129926,30
10088001,31
30191636,31
30189701,32
10128536,32
10117114,33
10100814,33
30170213,34
10100701,34
10098836,35
10099405,35
10098136,36
10087936,37
10087101,38
